epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8412,1.6632,39.0399,1.00071,0.00131,0.33333,0.00166,0.00102,1.54181,27.1677,0.91775,0.00013336,0.00013336,0.00013336
2,64.5744,1.65761,11.0573,1.19451,0.0011,0.66667,0.00117,0.00078,1.19228,111.263,0.84367,0.000280584,0.000280584,0.000280584
3,92.3149,1.4862,6.02934,1.27604,0.00173,0.33333,0.00193,0.00127,1.03169,76.3307,0.94951,0.000424838,0.000424838,0.000424838
4,120.474,1.25633,8.36878,0.98124,0.00298,0.33333,0.00204,0.00089,2.12072,120.367,1.23304,0.000566122,0.000566122,0.000566122
5,147.086,1.03848,7.98116,0.82963,0.00078,0.33333,0.00075,0.00024,3.18861,32.7094,1.48214,0.000704434,0.000704434,0.000704434
6,174.313,1.27798,6.34837,0.89758,0.0006,0.5,0.00093,0.00042,3.59172,14.8717,1.68671,0.000839776,0.000839776,0.000839776
7,201.901,1.51165,4.33785,1.15224,0.46321,0.33333,0.25082,0.12531,1.92221,5.97733,1.09098,0.000972148,0.000972148,0.000972148
8,230.829,1.78184,3.46931,1.28044,0.31298,0.33333,0.22879,0.14008,1.45517,19.4405,1.10028,0.00110155,0.00110155,0.00110155
9,257.801,1.64563,3.26516,1.10347,0.44948,0.16667,0.14419,0.07333,1.76684,3.5154,1.10213,0.00122798,0.00122798,0.00122798
10,288.097,1.39323,4.30122,0.86747,0.61249,0.16667,0.20371,0.06678,1.95285,4.32959,1.0879,0.00135144,0.00135144,0.00135144
11,314.696,1.69625,3.65729,1.35336,0.00406,0.83333,0.0041,0.00149,2.44245,129.639,1.63116,0.00147193,0.00147193,0.00147193
12,342.619,2.40152,3.70962,1.68571,0.00142,0.33333,0.00108,0.00025,3.51772,919.989,5.86759,0.00148546,0.00148546,0.00148546
13,369.35,2.17308,3.19103,1.76913,0.01017,0.16667,0.00298,0.00133,4.6639,19.2552,5.14266,0.00146896,0.00146896,0.00146896
14,395.783,1.94295,3.93241,1.46852,0.00041,0.16667,0.00039,0.00016,5.18026,91.2137,12.8427,0.00145246,0.00145246,0.00145246
15,422.208,1.74649,3.25301,1.36432,0.00337,0.33333,0.00567,0.00205,3.49095,14.6935,2.08925,0.00143595,0.00143595,0.00143595
16,447.779,1.93036,3.19734,1.29201,0.00277,0.33333,0.00557,0.00254,3.65457,14.2752,3.1701,0.00141945,0.00141945,0.00141945
17,474.244,1.57642,2.95421,1.30863,0.09071,0.33333,0.03652,0.01834,3.16121,10.0397,1.956,0.00140295,0.00140295,0.00140295
18,500.204,2.2841,3.01952,1.69574,0.22547,0.33333,0.14579,0.05674,2.0721,22.5498,1.27319,0.00138644,0.00138644,0.00138644
19,525.702,1.59141,2.64633,1.12298,0.45517,0.33333,0.26848,0.0836,1.70239,6.44224,1.32516,0.00136994,0.00136994,0.00136994
20,556.274,2.27566,2.81471,1.95623,0.28258,0.33333,0.22325,0.04967,2.01179,9.38193,1.30621,0.00135344,0.00135344,0.00135344
